TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-11 22:00:00,20006,20023,OhqY39IRlNeDDQlvRPV6Crcr0eE2,537,0,2166
2023-02-11 15:00:00,20001,20047,2Ia5gbzQ2gQUY32ruVlgrGPAC2h2,537,82,2186
2023-02-11 15:00:00,20001,20047,DKkmv4kfYlexQdo6Y1wGS9f4c1v1,564,110,2291
2023-02-11 14:00:00,20003,20055,lxUthN8dZjQeCULxcxIkAmsy3Bz1,578,578,2356
2023-02-11 14:00:00,20003,20055,0zpFHYMiDCacdB6ZHUdltlN3wM12,578,123,2386
2023-02-11 11:00:00,20052,20018,XYX1NOhXSNMO8xKktZpftndm30K3,591,0,2454
2023-02-11 11:00:00,20052,20018,D0W7oIheJpRbQiNiURXGnk0OD313,591,0,2401
2023-02-11 12:00:00,20010,20043,JbiJoPz9ozWexJfUdu06,578,578,2361
2023-02-11 13:00:00,20023,20043,pXSm3BKrPsgiyX0ZeLL8c4UQZAt1,578,123,2377
2023-02-11 14:00:00,20010,20064,jHtgnJ5zA6MVVDpOK1gY4AfysyA3,591,591,2438
2023-02-11 14:00:00,20010,20064,9ggU3a9jV3cRsiUEzE5L,591,591,2439
2023-02-11 11:00:00,20052,20018,hhyY062IdmXbxa9DstRi3Lm0wDI2,591,591,2448
2023-02-11 13:00:00,20023,20043,MjLNKUZekdYBNgeufWHOPbuqTZ02,605,605,2465
2023-02-11 14:00:00,20009,20054,QoMhVTEnroYuVoMEcEZN4g5XIA43,632,632,2628
2023-02-11 14:00:00,20009,20054,Vrhk06uvkWfMyVGilZ3r1QKuRgj1,646,646,2661
2023-02-11 17:00:00,20052,20043,6LoyqGwjgQONe0SD6ykef04VLIp1,646,0,2695
2023-02-11 21:00:00,20056,20061,w1bLSgbppGdNCujPqI0fhN1uivS2,700,700,2908
2023-02-11 21:00:00,20056,20061,uOd1CLSx0aTsa2SGPWj1Wv9hv6z2,700,246,2899
2023-02-11 21:00:00,20056,20061,W3xS5HPzkzbCVJIK8A9mUOpauU83,728,728,3036
2023-02-11 19:00:00,20010,20061,nqktvjJtOpV5gQRkXAhoJ80S0sh1,741,0,3117
2023-02-11 18:00:00,20019,20052,XYX1NOhXSNMO8xKktZpftndm30K3,755,0,3138
2023-02-11 18:00:00,20019,20052,D0W7oIheJpRbQiNiURXGnk0OD313,769,0,3199
2023-02-11 18:00:00,20019,20052,hhyY062IdmXbxa9DstRi3Lm0wDI2,796,796,3323
2023-02-11 11:00:00,20032,20032,d7Uofq4t4DRTai4zMtcmgWgSqSC2,796,796,3309
2023-02-11 11:00:00,20032,20032,RsClg58xEOO7eQsD9DYHOBPEHTW2,796,796,3359
2023-02-11 22:00:00,20019,20006,pf4ezyANJ5QpnaSC4KyuDYDfcPk2,810,810,3371
2023-02-11 19:00:00,20010,20062,DMSFx8aDuMN5Az6MF9J4cv4FEXu2,823,0,3457
2023-02-11 18:00:00,20031,20024,92AQmnoWqlOcBD4IVBrXqpUIr6u2,810,810,3400
2023-02-11 11:00:00,20032,20032,OffFwL4GR0V8VyJ469aSBeVZtEp2,810,355,3412
2023-02-11 22:00:00,20019,20006,WgWtxAPee7fmE2N0OAHRwrCaRig1,823,823,3455
2023-02-11 11:00:00,20032,20032,2NoZ1heB0SSDd9Qo3EnzMmoQ9FB2,837,837,3517
2023-02-11 17:00:00,20052,20043,vt4FDIul54XQDl77NjHHpxdhZcx1,864,864,3660
2023-02-11 11:00:00,20032,20047,8Jq9KgXSuYcwNULg7nld4JkgQn23,878,878,3696
2023-02-11 14:00:00,20047,20001,cgFpnnZyfmPZNLAq06RejvAsWwN2,1014,105,4291
2023-02-11 14:00:00,20047,20001,IfFhzrW8hePimpTFLLv9ckC97H02,1028,119,4325
2023-01-25 00:00:00,20009,20009,H1txL8tf7YTKaSfacHC5LHGOUUI2,73,0,122
2023-01-25 00:00:00,20009,20009,H1txL8tf7YTKaSfacHC5LHGOUUI2,100,50,260
2023-01-25 12:00:00,20052,20001,9tpGR6SQRQd42kh7w0I1qWu4Z6C2,100,50,279
2023-01-25 07:00:00,20023,20018,fVsyMFZmrWI3SQkXeyrs,100,50,248
2023-01-25 12:00:00,20010,20052,9tpGR6SQRQd42kh7w0I1qWu4Z6C2,114,58,306
2023-01-25 09:00:00,20023,20056,Mr0f010ADmdh395Tvtul0av7nI12,128,64,409
2023-01-25 00:00:00,20009,20009,yONIwwLRSxgYSaMRZh7IxrR8Pou1,141,71,436
2023-01-25 09:00:00,20023,20023,Mr0f010ADmdh395Tvtul0av7nI12,141,71,459
2023-01-25 09:00:00,20010,20026,d0chbx64yimB56PC3rTc,141,71,444
2023-01-25 10:00:00,20043,20030,tqE8CSSi8DUgwhAcuQ1kh1lG6gS2,155,78,509
2023-01-25 13:00:00,20046,20003,68PPo0rZcLx06KvqmHgs,169,85,588
2023-01-25 21:00:00,20046,20035,4oi5BrqdTQHm8verbDk6,182,91,620
2023-01-25 20:00:00,20050,20064,JgySQU9qZwR8H083Y5n6eTvAeiJ2,182,91,635
2023-01-25 22:00:00,20049,20036,BnWtZk6m1uh70ct56mzfCeNRU0H2,196,99,703
2023-01-25 15:00:00,20009,20010,9ReOfiJqu8THkYAstlOrAS5ge0k2,210,105,777
2023-01-25 15:00:00,20009,20010,Zpp3C1aJ7bUuy83HDGZ6bFw2Ez83,210,105,773
2023-01-25 12:00:00,20035,20047,BnWtZk6m1uh70ct56mzfCeNRU0H2,237,119,884
2023-01-25 00:00:00,20011,20062,mxsZFAThxWh0lRys1qLM,237,119,875
2023-01-25 09:00:00,20023,20056,argMd8xgSeapAhq3U6CI5jZXHqW2,250,126,942
2023-01-25 16:00:00,20043,20023,NGD4OPzBu6S5tQuBWH71r0h5k5S2,264,132,977
2023-01-25 16:00:00,20043,20023,e1qnfDfBLiQ9Z6p3HXM2UrBGHPm2,264,132,968
2023-01-25 14:00:00,20020,20043,Xv6QOEoANJPznsNg5qhaOSrLVhf1,278,140,1033
2023-01-25 15:00:00,20056,20043,e1qnfDfBLiQ9Z6p3HXM2UrBGHPm2,278,140,1041
